
> debate-me@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.68.57:3000
- Environments: .env
✓ Ready in 240ms

 PUT /api/inngest 404 in 163ms (next.js: 68ms, application-code: 95ms)
 PUT /api/inngest 404 in 161ms (next.js: 135ms, application-code: 26ms)
 PUT /api/inngest 404 in 30ms (next.js: 1693µs, application-code: 28ms)
 PUT /api/inngest 404 in 14ms (next.js: 1108µs, application-code: 13ms)
 PUT /api/inngest 404 in 32ms (next.js: 1471µs, application-code: 31ms)
 PUT /api/inngest 404 in 15ms (next.js: 1147µs, application-code: 14ms)
 GET /robots.txt 404 in 15ms (next.js: 1174µs, application-code: 14ms)
 GET /robots.txt 404 in 15ms (next.js: 1035µs, application-code: 14ms)
 GET / 200 in 73ms (next.js: 16ms, application-code: 57ms)
 PUT /api/inngest 404 in 32ms (next.js: 17ms, application-code: 15ms)
 PUT /api/inngest 404 in 33ms (next.js: 2ms, application-code: 31ms)
 GET /?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe3tmRTO8OSoLOTOOtBZQs1IL3f-XTnmV4469v3FR9TBHRTtpO0Ss8Som1t00_aem_EhLJoMFVGfMQ3Ljg1lhxhw 200 in 19ms (next.js: 1090µs, application-code: 18ms)
 PUT /api/inngest 404 in 25ms (next.js: 1539µs, application-code: 23ms)
 PUT /api/inngest 404 in 24ms (next.js: 12ms, application-code: 13ms)
 PUT /api/inngest 404 in 28ms (next.js: 1468µs, application-code: 27ms)
 PUT /api/inngest 404 in 14ms (next.js: 1961µs, application-code: 12ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 13ms (next.js: 1046µs, application-code: 12ms)
 PUT /api/inngest 404 in 30ms (next.js: 1378µs, application-code: 29ms)
 PUT /api/inngest 404 in 15ms (next.js: 1390µs, application-code: 13ms)
 PUT /api/inngest 404 in 29ms (next.js: 1109µs, application-code: 28ms)
 PUT /api/inngest 404 in 15ms (next.js: 924µs, application-code: 14ms)
 PUT /api/inngest 404 in 28ms (next.js: 1004µs, application-code: 27ms)
 PUT /api/inngest 404 in 14ms (next.js: 904µs, application-code: 13ms)
 PUT /api/inngest 404 in 29ms (next.js: 1000µs, application-code: 28ms)
 PUT /api/inngest 404 in 16ms (next.js: 987µs, application-code: 15ms)
 PUT /api/inngest 404 in 27ms (next.js: 1070µs, application-code: 26ms)
 PUT /api/inngest 404 in 14ms (next.js: 931µs, application-code: 13ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 17ms (next.js: 1024µs, application-code: 15ms)
 GET /?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe3tmRTO8OSoLOTOOtBZQs1IL3f-XTnmV4469v3FR9TBHRTtpO0Ss8Som1t00_aem_EhLJoMFVGfMQ3Ljg1lhxhw 200 in 19ms (next.js: 2ms, application-code: 17ms)
 PUT /api/inngest 404 in 15ms (next.js: 1239µs, application-code: 13ms)
 PUT /api/inngest 404 in 13ms (next.js: 915µs, application-code: 12ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 15ms (next.js: 1156µs, application-code: 14ms)
 GET / 200 in 18ms (next.js: 3ms, application-code: 15ms)
 PUT /api/inngest 404 in 33ms (next.js: 1033µs, application-code: 32ms)
 PUT /api/inngest 404 in 20ms (next.js: 1190µs, application-code: 18ms)
 PUT /api/inngest 404 in 13ms (next.js: 1001µs, application-code: 12ms)
 PUT /api/inngest 404 in 13ms (next.js: 1092µs, application-code: 12ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 17ms (next.js: 1624µs, application-code: 15ms)
 PUT /api/inngest 404 in 14ms (next.js: 1458µs, application-code: 13ms)
 PUT /api/inngest 404 in 14ms (next.js: 877µs, application-code: 13ms)
 PUT /api/inngest 404 in 15ms (next.js: 1013µs, application-code: 14ms)
 PUT /api/inngest 404 in 17ms (next.js: 1023µs, application-code: 16ms)
 PUT /api/inngest 404 in 14ms (next.js: 1146µs, application-code: 13ms)
 PUT /api/inngest 404 in 14ms (next.js: 1068µs, application-code: 13ms)
 PUT /api/inngest 404 in 14ms (next.js: 1174µs, application-code: 13ms)
 PUT /api/inngest 404 in 14ms (next.js: 877µs, application-code: 13ms)
 PUT /api/inngest 404 in 15ms (next.js: 1045µs, application-code: 14ms)
 PUT /api/inngest 404 in 17ms (next.js: 4ms, application-code: 12ms)
 PUT /api/inngest 404 in 13ms (next.js: 1128µs, application-code: 12ms)
 PUT /api/inngest 404 in 13ms (next.js: 928µs, application-code: 12ms)
 PUT /api/inngest 404 in 14ms (next.js: 1135µs, application-code: 13ms)
 PUT /api/inngest 404 in 15ms (next.js: 1176µs, application-code: 14ms)
 PUT /api/inngest 404 in 13ms (next.js: 1048µs, application-code: 12ms)
 PUT /api/inngest 404 in 15ms (next.js: 1023µs, application-code: 14ms)
 PUT /api/inngest 404 in 13ms (next.js: 900µs, application-code: 12ms)
 PUT /api/inngest 404 in 13ms (next.js: 1019µs, application-code: 12ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 13ms (next.js: 982µs, application-code: 12ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 14ms (next.js: 1237µs, application-code: 12ms)
 PUT /api/inngest 404 in 15ms (next.js: 1242µs, application-code: 14ms)
 PUT /api/inngest 404 in 14ms (next.js: 920µs, application-code: 13ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 14ms (next.js: 1114µs, application-code: 13ms)
 PUT /api/inngest 404 in 15ms (next.js: 905µs, application-code: 14ms)
 PUT /api/inngest 404 in 13ms (next.js: 890µs, application-code: 12ms)
 PUT /api/inngest 404 in 14ms (next.js: 1035µs, application-code: 13ms)
 PUT /api/inngest 404 in 14ms (next.js: 1506µs, application-code: 13ms)
 GET / 200 in 24ms (next.js: 3ms, application-code: 21ms)
 PUT /api/inngest 404 in 15ms (next.js: 1162µs, application-code: 13ms)
